company,estimated_revenue_eur_million,city,sectors_active,website
AVECO HOLDING,2231,Frankfurt,Business Services,http://www.aveco.de
ALBTAL-VERKEHRS-GESELLSCHAFT,290,Karlsruhe,"Transport, Freight & Storage",http://www.avg.info
AVIA,2962,Muenchen,Wholesale,http://www.avia.de
A. F. BAUER,304,Regenstauf,Retail,http://www.avia-regenstauf.de
AVIAREPS,150,Muenchen,"Travel, Personal & Leisure",http://www.aviareps.com
AVIS AUTOVERMIETUNG BETEILIGUNGSGESELLSCHAFT,852,Oberursel,Business Services,http://www.avis.de
AVISTA OIL,227,Uetze,Business Services,http://www.avista-oil.com
AVL DEUTSCHLAND,330,Mainz-Kastel,"Industrial, Electric & Electronic Machinery",http://www.avl.com
AVP AUTOMOBILGRUPPE BETEILIGUNGS,375,Plattling,Business Services,http://www.avp-gruppe.de
AVU FUER VERSORGUNGS-UNTERNEHMEN,512,Gevelsberg,Utilities,http://www.avu.de
AWIN,326,Berlin,Business Services,http://www.awin.com
ALUMINIUM-WERKE WUTOESCHINGEN,180,Wutoeschingen,Metals & Metal Products,http://www.aww.de
AXALTA COATING SYSTEMS GERMANY,1060,Wuppertal,"Chemicals, Petroleum, Rubber & Plastic",http://www.axaltacs.com
AXEL SPRINGER,3219,Berlin,Printing & Publishing,http://www.axelspringer.de
AXPO DEUTSCHLAND,287,Leipzig,Business Services,http://www.axpo.com
ABSATZZENTRALE KEMPEN GESELLSCHAFT MIT BESCHRAENKTER,816,Kempen,Wholesale,http://www.az-kempen.com
KARL BACHL FERTIGBAU,443,Roehrnbach,Business Services,http://www.bachl.de
BADENOVA,1050,Freiburg,Utilities,http://www.badenova.de
BNNETZE,343,Freiburg,Utilities,http://www.badenovanetz.de
BRUNO BADER + CO KG,521,Pforzheim,Wholesale,http://www.bader.de
BAERLOCHER,409,Unterschleissheim,"Chemicals, Petroleum, Rubber & Plastic",http://www.baerlocher.com
BAHLSEN,570,Hannover,Food & Tobacco Manufacturing,http://www.bahlsen.com
DB BAHNBAU GRUPPE,650,Berlin,,http://www.bahnbaugruppe.com
DB STATION&RVICE,1564,Berlin,"Transport, Freight & Storage",http://www.bahnhof.de
BAVARIA INDUSTRIES GROUP,146,Munchen,"Industrial, Electric & Electronic Machinery",http://www.baikap.de
BAKER HUGHES INTEQ,594,Celle,Metals & Metal Products,http://www.bakerhughes.de
BALLUFF,392,Neuhausen,"Industrial, Electric & Electronic Machinery",http://www.balluff.com
BAM DEUTSCHLAND,297,Stuttgart,Construction,http://www.bam-deutschland.de
BAOSTEEL EUROPE,648,Muenchen,Wholesale,http://www.baosteel.eu
BARDUSCH BETEILIGUNGEN,326,Ettlingen,Business Services,http://www.bardusch.de
BARMHERZIGE BRUEDER GEMEINNUETZIGE TRAEGER,721,Muenchen,"Travel, Personal & Leisure",http://www.barmherzige.de
BARMHERZIGE BRUEDER TRIER G,909,Koblenz,"Travel, Personal & Leisure",http://www.barmherzige-brueder-trier.de
BARMHERZIGE BRUEDER GEMEINNUETZIGE KRANKENHAUS,443,Regensburg,"Public Administration, Education, Health Social Services",http://www.barmherzige-regensburg.de
BARRY CALLEBAUT COCOA GERMANY,322,Hamburg,Food & Tobacco Manufacturing,http://www.barry-callebaut.com
