company,estimated_revenue_eur_million,city,sectors_active,website
RENOLIT,481,Worms,"Chemicals, Petroleum, Rubber & Plastic",http://www.renolit.com
RENTSCHLER BIOPHARMA,175,Laupheim,Biotechnology and Life Sciences,http://www.rentschler-biopharma.com
RETTENMEIER HOLDING,453,Wilburgstetten,Business Services,http://www.rettenmeier.com
REW REGENSBURGER ENERGIE-UND WASRVERSORGUNG,390,Regensburg,Utilities,http://www.rewag.de
REWE DEUTSCHER SUPERMARKT,38294,Koeln,Business Services,http://www.rewe-group.com
REXAM HOLDING,695,Bad Muender,Business Services,http://www.rexam.com
REXEL,883,Muenchen,Business Services,http://www.rexel.com
F. REYHER NCHFG.,349,Hamburg,Wholesale,http://www.reyher.de
RF360 EUROPE,1043,Muenchen,Business Services,http://www.rf360jv.com
RHEINBAHN,301,Duesseldorf,"Transport, Freight & Storage",http://www.rheinbahn.de
RHEINENERGIE,2682,Koeln,Utilities,http://www.rheinenergie.com
RHEINENERGIE TRADING,2670,Koeln,Utilities,http://www.rheinenergie-trading.com
RHEINISCH-BERGISCHE VERLAGSGESELLSCHAFT,724,Duesseldorf,Business Services,http://www.rheinischepostmediengruppe.de
RHEINKALK,433,Wuelfrath,Business Services,http://www.rheinkalk.de
RHEINLAND KRAFTSTOFF GESELLSCHAFT MIT BESCHRAENKTER,1156,Gelsenkirchen,Wholesale,http://www.rheinland-kraftstoff.de
RHEINLAND HOLDING,549,Neuss,"Banking, Insurance & Financial Services",http://www.rheinland-versicherungen.de
RHEINMETALL,6381,Dusseldorf,Transport Manufacturing,http://www.rheinmetall.com
KS HUAYU ALUTECH,308,Neckarsulm,Metals & Metal Products,http://www.rheinmetall-automotive.com
RHEINMETALL MILITARY VEHICLES,654,Muenchen,Transport Manufacturing,http://www.rheinmetall-defence.com
RHEN RHEINISCHE ENERGIE,177,Koeln,Utilities,http://www.rhenag.de
RHM ROHSTOFF-HANDELSGESELLSCHAFT,461,Muelheim,Waste Management & Treatment,http://www.rhm-rohstoffe.de
CERDIA PRODUKTIONS,353,Freiburg,"Chemicals, Petroleum, Rubber & Plastic",http://www.rhodia.com
RHON-KLINIKUM,1533,Bad Neustadt/Saale,"Public Administration, Education, Health Social Services",http://www.rhoen-klinikum-ag.com
RIB SOFTWARE,217,Stuttgart,Business Services,http://www.rib-software.com
RICOH DEUTSCHLAND,502,Hannover,Wholesale,http://www.ricoh.de
RIEDEL BAU HOLDING,249,Schweinfurt,Business Services,http://www.riedelbau.de
RIHA WESERGOLD GETRAENKE,556,Rinteln,Food & Tobacco Manufacturing,http://www.riha-wesergold.de
RIMOWA,344,Koeln,Textiles & Clothing Manufacturing,http://www.rimowa.de
UNITED IMAGING GROUP,353,Fuerth,Wholesale,http://www.ringfoto.de
ALFRED RITTER,503,Waldenbuch,Food & Tobacco Manufacturing,http://www.ritter-sport.de
RIVA STAHL,1582,Hennigsdorf,Wholesale,http://www.rivagroup.com
RKW,401,Frankenthal,"Chemicals, Petroleum, Rubber & Plastic",http://www.rkw-group.com
RAIFFEIN LIPPE-WER,130,Lage,Wholesale,http://www.rlw-ag.de
RHEINISCHE NETZGESELLSCHAFT,783,Koeln,Utilities,http://www.rng.de
ROCHE DIAGNOSTICS,4991,Mannheim,"Chemicals, Petroleum, Rubber & Plastic",http://www.roche.de
DEUTSCHE ROCKWOOL,346,Gladbeck,Wholesale,http://www.rockwool.de
RODENSTOCK,321,Muenchen,"Industrial, Electric & Electronic Machinery",http://www.rodenstock.de
ROECHLING,2223,Mannheim,Business Services,http://www.roechling.com
ROECHLING AUTOMOTIVE GERMANY,388,Worms,"Chemicals, Petroleum, Rubber & Plastic",http://www.roechling-automotive.de
ROECHLING ENGINEERING PLASTICS,271,Haren,"Chemicals, Petroleum, Rubber & Plastic",http://www.roechling-plastics.com
ROEDL,338,Neumarkt,Wholesale,http://www.roedl-energie.de
ROEHM,1489,Essen,"Chemicals, Petroleum, Rubber & Plastic",http://www.roehm.com
ROFA INDUSTRIAL AUTOMATION,344,Kolbermoor,"Industrial, Electric & Electronic Machinery",http://www.rofa-group.com
ROGESA ROHEISENGESELLSCHAFT SAAR,1405,Dillingen,Metals & Metal Products,http://www.rogesa.de
ROHDE & SCHWARZ,2421,Muenchen,"Industrial, Electric & Electronic Machinery",http://www.rohde-schwarz.com
ROEHLIG LOGISTICS,672,Bremen,Business Services,http://www.rohlig.com
SUEDBAYERISCHES PORTLAND-ZEMENTWERK GEBR. WIESBOECK & CO.,580,Rohrdorf,Wholesale,http://www.rohrdorfer.eu
ROLAND BERGER HOLDING,631,Muenchen,Business Services,http://www.rolandberger.com
ROLAND MILLS UNITED,293,Bremen,Business Services,http://www.rolandmillsunited.de
ROLAND RECHTSSCHUTZ-VERSICHERUNGS-,477,Koeln,"Banking, Insurance & Financial Services",http://www.roland-rechtsschutz.de
ROLEX DEUTSCHLAND GESELLSCHAFT MIT BESCHRAENKTER,363,Koeln,Wholesale,http://www.rolex.de
ROLLS-ROYCE DEUTSCHLAND LTD,2133,Blankenfelde-Mahlow,Transport Manufacturing,http://www.rolls-royce.de
RUD. OTTO MEYER TECHNIK,413,Bremen,Construction,http://www.rom-technik.de
ROSENBAUM VERWALTUNGS,428,Koeln,Wholesale,http://www.rosenbaum-koeln.de
ROSENBERGER,1352,Tittmoning,Business Services,http://www.rosenberger.com
ROSIER HOLDING,413,Menden,Business Services,http://www.rosier.de
ROSSMANN,6210,Burgwedel,Business Services,http://www.rossmann.de
KARL ROSSNAGEL,498,Bruchsal,Wholesale,http://www.rossnagel-mineraloele.de
ROTH AGRARHANDEL,336,Kirchhain,Wholesale,http://www.roth-agrar.de
ROTHENBERGER,353,Kelkheim,Business Services,http://www.rothenberger.com
ROTHENBERGER 4 X S HOLDING,288,Frankfurt,Business Services,http://www.rothenberger-4xs.com
FRANZ-JOSEF ROTHKOETTER,1096,Meppen,Wholesale,http://www.rothkoetter.de
ROTKAEPPCHEN,772,Freyburg,Business Services,http://www.rotkaeppchen.de
ROTO FRANK HOLDING,700,Leinfelden-Echterdingen,Business Services,http://www.roto-frank.com
RPC PACKAGING HOLDINGS (DEUTSCHLAND) B.V.,554,Bremervoerde,Wholesale,http://www.rpc-group.com
ROLLS-ROYCE POWER SYSTEMS,126,Friedrichshafen,Business Services,http://www.rrpowersystems.com
R + S BETEILIGUNGS,389,Fulda,Business Services,http://www.rs-ag.net
RTL 2 FERNSEHEN,358,Gruenwald,Media & Broadcasting,http://www.rtl2.de
RTL TELEVISION,1839,Koeln,Media & Broadcasting,http://www.rtl-television.de
RUDOLPH FINANCE,352,Gudensberg,Business Services,http://www.rudolph-log.com
RUEGEN FISCH,134,Sassnitz,Retail,http://www.ruegenfisch.de
RUETGERS GERMANY,574,Castrop-Rauxel,"Chemicals, Petroleum, Rubber & Plastic",http://www.ruetgers-group.com
RUTRONIK ELEKTRONISCHE BAUELEMENTE,1121,Ispringen,Wholesale,http://www.rutronik.de
R+V GRUPPENPENSIONSFONDS,192,Munchen,"Banking, Insurance & Financial Services",http://www.ruvgpf.de
RAIFFEISEN VIEHVERMARKTUNG,462,Ennigerloh,Wholesale,http://www.rvg-net.de
RVV ROSTOCKER VERSORGUNGS- UND VERKEHRS-HOLDING,448,Rostock,Business Services,http://www.rvv-rostock.de
RWE POWER,3503,Koeln,Utilities,http://www.rwe.com
RWE,41753,Essen,Utilities,http://www.rwe.de
BINDEWALD UND GUTTING VERWALTUNGS-,372,Alsleben,Business Services,http://www.saalemuehle.de
SAARSTAHL,2077,Voelklingen,Metals & Metal Products,http://www.saarstahl.com
SABIC HOLDING DEUTSCHLAND,833,Gelsenkirchen,Business Services,http://www.sabic.com
VENATOR GERMANY,814,Duisburg,"Chemicals, Petroleum, Rubber & Plastic",http://www.sachtleben.de
SAFEROAD,5376,Weroth,Business Services,http://www.saferoad-rrs.com
SAF-HOLLAND,632,Bessenbach,Wholesale,http://www.safholland.com
SAG VERMOEGENSVERWALTUNG \N,1256,Langen,Business Services,http://www.sag.eu
SA SIEDLUNGS- HAMBURG,1033,Hamburg,Property Services,http://www.saga.hamburg
SAINT-GOBAIN ISOVER G+H,377,Ludwigshafen,"Industrial, Electric & Electronic Machinery",http://www.saint-gobain.de
S-KON NEW BUSINESS,148,Hamburg,Business Services,http://www.saleskontor.de
SALZGITTER,8707,Salzgitter,Metals & Metal Products,http://www.salzgitter-ag.de
SUDWESTDEUTSCHE SALZWERKE,292,Heilbronn,Mining & Extraction,http://www.salzwerke.de
SAMSON,323,Frankfurt,"Industrial, Electric & Electronic Machinery",http://www.samson.de
SAMSUNG ELECTRONICS,4927,Schwalbach,Wholesale,http://www.samsung.com/de
SAMSUNG SEMICONDUCTOR EUROPE,3197,Muenchen,Wholesale,http://www.samsung.com/eu/business/semiconductor/de
SAMSUNG ELECTRONICS HOLDING,8126,Schwalbach,Business Services,http://www.samsung.de
SAMSUNG C&T DEUTSCHLAND,562,Schwalbach,Wholesale,http://www.samsungdeutschland.de
SANA KLINIKEN,2885,Ismaning,Business Services,http://www.sana.de
SANACORP PHARMAHANDEL,4755,Planegg,Wholesale,http://www.sanacorp.de
SANDLER,331,Schwarzenbach,Textiles & Clothing Manufacturing,http://www.sandler.de
SANITAETSHAUS AKTUELL,328,Vettelschoss,Wholesale,http://www.sani-aktuell.de
SANITAER-HEINZE,336,Ainring,Wholesale,http://www.sanitaer-heinze.com
AVENTIS PHARMA DEUTSCHLAND,926,Frankfurt,Wholesale,http://www.sanofi.de
SANOFI-AVENTIS DEUTSCHLAND,5468,Frankfurt,"Chemicals, Petroleum, Rubber & Plastic",http://www.sanofi-aventis.de
SANTO HOLDING (DEUTSCHLAND),1381,Holzkirchen,Business Services,http://www.santoholding.ch
SAP,27566,Walldorf,"Industrial, Electric & Electronic Machinery",http://www.sap.com
SAPPI STOCKSTADT,356,Stockstadt,"Wood, Furniture & Paper Manufacturing",http://www.sappi.com
SARSTEDT,416,Nuembrecht,"Industrial, Electric & Electronic Machinery",http://www.sarstedt.com
SARTORIUS,1836,Gottingen,"Industrial, Electric & Electronic Machinery",http://www.sartorius.com
SARTORIUS STEDIM BIOTECH,632,Goettingen,Biotechnology and Life Sciences,http://www.sartorius-stedim.com
SAS AUTOSYSTEMTECHNIK,765,Karlsruhe,"Industrial, Electric & Electronic Machinery",http://www.sas-automotive.com/de
SASOL GERMANY,1565,Hamburg,"Chemicals, Petroleum, Rubber & Plastic",http://www.sasolgermany.de
DR. SAS,203,Muenchen,Business Services,http://www.sasse.de
SAT.1 SATELLITEN FERNSEHEN,771,Unterfoehring,Media & Broadcasting,http://www.sat1.de
SATURN ONLINE,511,Ingolstadt,Wholesale,http://www.saturn.de
SAUELS,190,Kempen,Business Services,http://www.sauels.de
DMB DR. DIETER MURMANN BETEILIGUNGSGESELLSCHAFT,329,Kiel,Business Services,http://www.sauercompressors.com
SAURER SPINNING SOLUTIONS,756,Uebach-Palenberg,,http://www.saurer.com
SAVENCIA FROMAGE & DAIRY DEUTSCHLAND,376,Wiesbaden,Wholesale,http://www.savencia-fd.de
SAXONIA HOLDING,524,Halsbruecke,Mining & Extraction,http://www.saxonia.de
KLIER HOLDING,322,Wolfsburg,Business Services,http://www.saxonia-holding.com
S-BAHN BERLIN,813,Berlin,"Transport, Freight & Storage",http://www.s-bahn-berlin.de
S-BAHN HAMBURG,384,Hamburg,"Transport, Freight & Storage",http://www.s-bahn-hamburg.de
SCHWARZWALD-BAAR KLINIKUM VILLINGEN-SCHWENNINGEN,287,Villingen-Schwenningen,"Public Administration, Education, Health Social Services",http://www.sbk-vs.de
SCANIA CV DEUTSCHLAND HOLDING,1195,Koblenz,Business Services,http://www.scania.de
TECINVEST HOLDING,155,Puchheim,Business Services,http://www.scanlab.de
"SCHAEFER WERKE , STAHL- UND KUNSTSTOFFTECHNIK",917,Neunkirchen,Business Services,http://www.schaefer-werke.de
SCHAEFFLER,14504,Herzogenaurach,Transport Manufacturing,http://www.schaeffler.com
SCHAEFLEIN,156,Roethlein,Business Services,http://www.schaeflein-ag.de
SCHALTBAU HOLDING,538,Munchen,Transport Manufacturing,http://www.schaltbau.com
RETIS HOLDING,800,Rohrdorf,Business Services,http://www.schattdecor.de
SCHAUENBURG TECHNOLOGY,142,Muelheim,Business Services,http://www.schauenburg.com
SCHAUINSLAND-REISEN,1404,Duisburg,"Travel, Personal & Leisure",http://www.schauinsland-reisen.de
HUELSENBERG HOLDING,500,Pinneberg,Business Services,http://www.schaumann.ch
SCHEIDT & BACHMANN,412,Moenchengladbach,Computer Hardware,http://www.scheidt-bachmann.de
SCHERDEL VERWALTUNGS-,759,Marktredwitz,Business Services,http://www.scherdel.com
SCHERDEL,498,Marktredwitz,Metals & Metal Products,http://www.scherdel.de
SCHERER HOLDING,722,Simmern,Business Services,http://www.scherer-gruppe.de
SCHIESR,183,Radolfzell,Textiles & Clothing Manufacturing,http://www.schiesserag.com
SCHINDLER DEUTSCHLAND,953,Berlin,Construction,http://www.schindler.de
MOON TOPCO,307,Aschheim,Business Services,http://www.schlemmer.com
CARL SCHLENK,167,Roth,Business Services,http://www.schlenk.de
SCHLOSS WACHENHEIM,344,Trier,Food & Tobacco Manufacturing,http://www.schloss-wachenheim.de
KARL SCHMIDT SPEDITION,363,Heilbronn,"Transport, Freight & Storage",http://www.schmidt-heilbronn.de
HEINRICH SCHMIDT HOLDING,494,Moenchengladbach,Business Services,http://www.schmidt-mg.de
BREMER FAHRZEUGHAUS SCHMIDT + KOCH,365,Bremen,Business Services,http://www.schmidt-und-koch.de
SCHNEIDER ELECTRIC,765,Ratingen,Wholesale,http://www.schneider-electric.de
SCHNELLECKE GROUP,1181,Wolfsburg,"Transport, Freight & Storage",http://www.schnellecke.com
SCHOECK,198,Baden-Baden,Property Services,http://www.schoeck.de
SCHOEN KLINIK,890,Prien,Business Services,http://www.schoen-klinik.de
SCHOEN KLINIK,773,Prien,Business Services,http://www.schoen-kliniken.com
SCHOLZ RECYCLING,1268,Essingen,Wholesale,http://www.scholz-recycling.de
SCHOTT,2220,Mainz,"Leather, Stone, Clay & Glass products",http://www.schott.com
SCHUETZ-WERKE,1955,Selters,Business Services,http://www.schuetz.net
SCHUFA HOLDING,194,Wiesbaden,Business Services,http://www.schufa.de
SCHULER PRESSEN,755,Weingarten,"Industrial, Electric & Electronic Machinery",http://www.schulergroup.com
RICHARD SCHULZ TIEFBAU,337,Neuburg,Construction,http://www.schulz-tiefbau.de
SCHUMACHER PACKAGING,445,Ebersdorf,"Wood, Furniture & Paper Manufacturing",http://www.schumacher-packaging.com
SCHUNK,1416,Heuchelheim,Business Services,http://www.schunk-group.com
SCHUSTERMANN & BORENSTEIN HOLDING,343,Aschheim,Wholesale,http://www.schustermann-borenstein.de
DR. SCHWABE HOLDING,386,Karlsruhe,Business Services,http://www.schwabe.de
"BAUSPARKAS SCHWABISCH HALL , BAUSPARKAS DER VOLKSBANKEN UND RAIFFEINBANKEN",360,Schwabisch Hall,"Banking, Insurance & Financial Services",http://www.schwaebisch-hall.de
SCHWALBCHEN MOLKEREI JAKOB BERZ,190,Bad Schwalbach,Food & Tobacco Manufacturing,http://www.schwaelbchen-molkerei.de
SCHWANHAEUSSER INDUSTRIE HOLDING,698,Heroldsberg,Business Services,http://www.schwan-stabilo.de
AOH NAHRUNGSMITTEL,1158,Bad Schwartau,Business Services,http://www.schwartauer-werke.de
SCHWENK DONAU,3632,Ulm,Business Services,http://www.schwenk.de
SCHWERMETALL HALBZEUGWERK GESELLSCHAFT MIT BESCHRAENKTER UND CO. KG,436,Stolberg,Metals & Metal Products,http://www.schwermetall.de
SCOUT24,626,Munchen,Property Services,http://www.scout24.com
SCHWEIZER ELECTRONIC,123,Schramberg,"Industrial, Electric & Electronic Machinery",http://www.seag.de
SEAT DEUTSCHLAND,2540,Weiterstadt,Wholesale,http://www.seat.de
SUMITOMO ELECTRIC BORDNETZE,566,Wolfsburg,"Industrial, Electric & Electronic Machinery",http://www.sebn.de
CUNET CURITY NETWORKS,226,Essen,"Industrial, Electric & Electronic Machinery",http://www.secunet.de
SECURITAS HOLDING,918,Duesseldorf,Business Services,http://www.securitas.com
DUS STOLL,218,Dogern,"Wood, Furniture & Paper Manufacturing",http://www.sedus.de
SEG AUTOMOTIVE GERMANY,1044,Stuttgart,"Industrial, Electric & Electronic Machinery",http://www.seg-automotive.com
HANS SEGMUELLER POLSTERMOEBELFABRIK,741,Friedberg,Retail,http://www.segmueller.de
SEISSENSCHMIDT,327,Plettenberg,Metals & Metal Products,http://www.seissenschmidt.com
O. & L. SELS & CO. KOMMANDITGESELLSCHAFT,431,Neuss,Food & Tobacco Manufacturing,http://www.sels.de
SEMIKRON INTERNATIONAL,551,Nuernberg,Business Services,http://www.semikron.com
NACOR TECHNOLOGIES .,134,Eschborn,Business Services,http://www.senacor.com
SENATA,473,Freising,Business Services,http://www.senata.de
SENATOR INTERNATIONAL SPEDITION,493,Hamburg,Business Services,http://www.senator-international.com
SENNEBOGEN ERICH HOLDING,448,Straubing,Business Services,http://www.sennebogen.de
SENNHEISER V + V,753,Wedemark,Property Services,http://www.sennheiser.com
SERAFIN,611,Muenchen,Business Services,http://www.serafin-gruppe.de
SERVICE-BUND,695,Luebeck,Wholesale,http://www.servicebund.de
RVICEPLAN GROUP INTERNATIONAL,183,Muenchen,Business Services,http://www.serviceplan.com
RVICEPLAN GROUP,1173,Muenchen,Business Services,http://www.serviceplan.de
BV BETEILIGUNG,3092,Bruchsal,Business Services,http://www.sew-eurodrive.de
SGB-SMIT BETEILIGUNG,767,Frankfurt,Business Services,http://www.sgb-smit.com
SGL CARBON,1096,Wiesbaden,"Industrial, Electric & Electronic Machinery",http://www.sglgroup.com
SHARP ELECTRONICS (EUROPE) G.M.B.H.,295,Hamburg,Wholesale,http://www.sharp.de
SHELL DEUTSCHLAND OIL,21101,Hamburg,"Chemicals, Petroleum, Rubber & Plastic",http://www.shell.com
SHELL ERDGAS MARKETING,2392,Hamburg,Mining & Extraction,http://www.shell.de/erdgas
SHIRE DEUTSCHLAND,568,Berlin,Wholesale,http://www.shire.de
SCHLESWIG-HOLSTEIN NETZ,2712,Quickborn,Utilities,http://www.sh-netz.com
SHOWA DENKO CARBON GERMANY,1133,Meitingen,"Chemicals, Petroleum, Rubber & Plastic",http://www.showadenkocarbon.com
POWWOW,528,Koeln,Communications,http://www.shtd.de
SHW,439,Aalen,Transport Manufacturing,http://www.shw.de
SICK,1793,Waldkirch,"Industrial, Electric & Electronic Machinery",http://www.sick.com
SIEGWERK,1154,Siegburg,Business Services,http://www.siegwerk.com
SIEMENS,84454,Munchen,"Industrial, Electric & Electronic Machinery",http://www.siemens.com
SIEMENS HEALTHINEERS,14132,Erlangen,"Public Administration, Education, Health Social Services",http://www.siemens-healthineers.com
SCHUHHAUS SIEMES EINKAUFS & BETEILIGUNGS,295,Moenchengladbach,Business Services,http://www.siemes-gruppe.de
G. SIEMPELKAMP,763,Krefeld,Business Services,http://www.siempelkamp.com
SIEVERT,392,Osnabrueck,Business Services,http://www.sievert-ag.de
SIEWERT & KAU COMPUTERTECHNIK,583,Bergheim,Computer Software,http://www.siewert-kau.de
SIG COMBIBLOC,682,Linnich,"Wood, Furniture & Paper Manufacturing",http://www.sig.biz
SIG GERMANY,498,Hanau,Business Services,http://www.sig-germany.de
SIGNAL IDUNA ALLGEMEINE VERSICHERUNG,1021,Dortmund,"Banking, Insurance & Financial Services",http://www.signal-iduna.de
SILTRONIC,1277,Munchen,"Industrial, Electric & Electronic Machinery",http://www.siltronic.com
SIMMEL,189,Chemnitz,Retail,http://www.simmel.de
SIMONA,435,Kirn,"Chemicals, Petroleum, Rubber & Plastic",http://www.simona.de
SINOPEC EUROPA,348,Frankfurt,Wholesale,http://www.sinopecgroup.com/group/en
SIRONA DENTAL SYSTEMS,719,Bensheim,Wholesale,http://www.sirona.de
SITECH SITZTECHNIK,1112,Wolfsburg,Transport Manufacturing,http://www.sitech-sitztechnik.de
SIXT,3398,Pullach,"Travel, Personal & Leisure",http://www.sixt.com
SIXT LEASING,832,Pullach,"Travel, Personal & Leisure",http://www.sixt-leasing.de
SKANDIA LEBENSVERSICHERUNG,302,Berlin,"Banking, Insurance & Financial Services",http://www.skandia.de
SKF,1887,Schweinfurt,Metals & Metal Products,http://www.skf.com
SK HYNIX DEUTSCHLAND,402,Frankfurt,Wholesale,http://www.skhynix.com
SKION,2870,Bad Homburg,Business Services,http://www.skion.de
SKW STICKSTOFFWERKE PIESTERITZ,568,Lutherstadt Wittenberg,"Chemicals, Petroleum, Rubber & Plastic",http://www.skwp.de
SKW STAHL-METALLURGIE HOLDING,259,Unterneukirchen,Metals & Metal Products,http://www.skw-steel.com
SLK-KLINIKEN HEILBRONN,447,Heilbronn,"Public Administration, Education, Health Social Services",http://www.slk-kliniken.de
SLOMAN NEPTUN SCHIFFAHRTS,134,Bremen,"Transport, Freight & Storage",http://www.sloman-neptun.com
SMA SOLAR TECHNOLOGY,940,Niestetal,"Industrial, Electric & Electronic Machinery",http://www.sma.de
SALZGITTER MASCHINENBAU,174,Salzgitter,Business Services,http://www.smag.de
SMITHS HEIMANN,335,Wiesbaden,"Industrial, Electric & Electronic Machinery",http://www.smithsdetection.com
SMP DEUTSCHLAND,1472,Boetzingen,"Chemicals, Petroleum, Rubber & Plastic",http://www.smp-automotive.com
SIEMAG WEISS,2907,Hilchenbach,Business Services,http://www.sms-group.com
SMS MEDIPOOL,120,Friedrichsthal,Wholesale,http://www.sms-medipool.de
SMURFIT KAPPA DEUTSCHLAND,2026,Hamburg,Business Services,http://www.smurfitkappa.de
SNIPES,341,Koeln,Wholesale,http://www.snipes.com
SNOP AUTOMOTIVE COLOGNE,397,Koeln,Wholesale,http://www.snopautomotive.com
SNP SCHNEIDER-NEUREITHER & PARTNER,148,Heidelberg,Business Services,http://www.snp.de
SOCIETE GENERALE EFFEKTEN,461,Frankfurt Am Main,"Banking, Insurance & Financial Services",http://www.societegenerale.com
SODEXO SERVICES,302,Ruesselsheim,"Travel, Personal & Leisure",http://www.sodexo.de
SOFTWARE AG,895,Darmstadt,"Industrial, Electric & Electronic Machinery",http://www.softwareag.com
SOFTWAREONE DEUTSCHLAND,357,Muenchen,Retail,http://www.softwareone.com
S.OLIVER BERND FREIER,1353,Rottendorf,Wholesale,http://www.soliver.com
SOLVADIS DEUTSCHLAND,552,Frankfurt,Business Services,http://www.solvadis.de
SOLVAY CHEMICALS,399,Hannover,"Chemicals, Petroleum, Rubber & Plastic",http://www.solvay.de
SONAE ARAUCO DEUTSCHLAND,383,Meppen,"Wood, Furniture & Paper Manufacturing",http://www.sonaearauco.com
SONEPAR DEUTSCHLAND,3433,Duesseldorf,Business Services,http://www.sonepar.de
SONIC HEALTHCARE GERMANY,972,Berlin,"Public Administration, Education, Health Social Services",http://www.sonichealthcare.com
SOPRA STERIA,351,Hamburg,Business Services,http://www.soprasteria.de
CARL SPAETER GESELLSCHAFT MIT BESCHRAENKTER,1454,Duisburg,Wholesale,http://www.spaeter.de
SPARKAS DORTMUND,241,Dortmund,"Banking, Insurance & Financial Services",http://www.sparkasse-dortmund.de
SPARKAS NEUSS,158,Neuss,"Banking, Insurance & Financial Services",http://www.sparkasse-neuss.de
SV SPARKASNVERSICHERUNG,3328,Stuttgart,"Banking, Insurance & Financial Services",http://www.sparkassenversicherung.de
S PENSIONSMANEMENT,303,Koln,"Banking, Insurance & Financial Services",http://www.s-pension.de
SPIE,564,Ratingen,Business Services,http://www.spie.de
SPIE SAG,756,Ratingen,Wholesale,http://www.spie-sag.de
SPITZKE,352,Grossbeeren,Construction,http://www.spitzke.de
SPORT GROUP TOPCO,577,Burgheim,Business Services,http://www.sportgroup-holding.com
UNION FAMILIEN UND BETEILIGUNGS,757,Cappeln,Business Services,http://www.sprehe.de
H&R REFINING,407,Salzbergen,Wholesale,http://www.srs-oil.de
STUTTGARTER STRASNBAHNEN,354,Stuttgart,"Transport, Freight & Storage",http://www.ssb-ag.de
"FRITZ SCHAEFER , EINRICHTUNGSSYSTEME",1800,Neunkirchen,Business Services,http://www.ssi-schaefer.de
SUELZLE STAHLPARTNER,318,Rosenfeld,Wholesale,http://www.ssk-gruppe.de
STABILUS,375,Koblenz,Wholesale,http://www.stabilus.de
STADA ARZNEIMITTEL,2648,Bad Vilbel,"Chemicals, Petroleum, Rubber & Plastic",http://www.stada.de
STADLER PANKOW,450,Berlin,Transport Manufacturing,http://www.stadlerrail.com
STADT UND LAND WOHNBAUTEN-GESELLSCHAFT MIT BESCHRAENKTER,316,Berlin,Property Services,http://www.stadtundland.de
STADTWERKE BIELEFELD GESELLSCHAFT MIT BESCHRAENKTER,676,Bielefeld,Utilities,http://www.stadtwerke-bielefeld.de
FUW,8386,Bochum,Utilities,http://www.stadtwerke-bochum.de
STADTWERKE BONN (SWB),533,Bonn,Utilities,http://www.stadtwerke-bonn.de
SWE STADTWERKE ERFURT,490,Erfurt,Business Services,http://www.stadtwerke-erfurt.de
STADTWERKE ESN,346,Essen,Utilities,http://www.stadtwerke-essen.de
STADTWERKE FLENSBURG,462,Flensburg,Utilities,http://www.stadtwerke-flensburg.de
STADTWERKE FRANKFURT AM MAIN HOLDING,2502,Frankfurt,Business Services,http://www.stadtwerke-frankfurt.de
STADTWERKE GIESN,425,Giessen,Utilities,http://www.stadtwerke-giessen.de
STADTWERKE SCHWAEBISCH HALL,470,Schwaebisch Hall,Utilities,http://www.stadtwerke-hall.de
STADTWERKE HAMM GESELLSCHAFT MIT BESCHRAENKTER,291,Hamm,"Transport, Freight & Storage",http://www.stadtwerke-hamm.de
STADTWERKE HEIDENHEIM,126,Heidenheim,Utilities,http://www.stadtwerke-heidenheim.de
STADTWERKE HERNE,165,Herne,Utilities,http://www.stadtwerke-herne.de
STADTWERKE HILDESHEIM,199,Hildesheim,Business Services,http://www.stadtwerke-hildesheim.de
STADTWERKE JENA,369,Jena,Business Services,http://www.stadtwerke-jena.de
STADTWERKE KIEL,465,Kiel,Utilities,http://www.stadtwerke-kiel.de
STADTWERKE MUENSTER,604,Muenster,Utilities,http://www.stadtwerke-muenster.de
SWN STADTWERKE NEUMUENSTER BETEILIGUNGEN,313,Neumuenster,Business Services,http://www.stadtwerke-neumuenster.de
SWP STADTWERKE PFORZHEIM,349,Pforzheim,Utilities,http://www.stadtwerke-pforzheim.de
STADTWERKE POTSDAM,353,Potsdam,Utilities,http://www.stadtwerke-potsdam.de
STADTWERKE REUTLINGEN,320,Reutlingen,"Industrial, Electric & Electronic Machinery",http://www.stadtwerke-reutlingen.de
STAEDTLER NORIS,336,Nuernberg,Business Services,http://www.staedtler.de
STAEUBLI HOLDING GERMANY,295,Bayreuth,Business Services,http://www.staeubli.com
STAFAG INTERNATIONAL,409,Muelheim,Business Services,http://www.stafag.com
STAGE ENTERTAINMENT GERMANY HOLDING,341,Hamburg,Business Services,http://www.stage-entertainment.de
R STAHL,279,Waldenburg,"Industrial, Electric & Electronic Machinery",http://www.stahl.de
STAHLGRUBER,1172,Poing,Retail,http://www.stahlgruber.de
STAHL,2727,Dillingen,Business Services,http://www.stahl-holding-saar.de
STAHLWERK THUERINGEN,506,Unterwellenborn,Metals & Metal Products,http://www.stahlwerk-thueringen.de
STATE STREET EUROPE HOLDINGS GERMANY S.A R.L.,797,Muenchen,Business Services,http://www.statestreet.com/about/office-locati
STATKRAFT MARKETS,26083,Duesseldorf,Utilities,http://www.statkraft.de
ST. AUGUSTINUS GELSENKIRCHEN,328,Gelsenkirchen,"Travel, Personal & Leisure",http://www.st-augustinus.eu
ST. AUGUSTINUS-KLINIKEN G,352,Neuss,"Public Administration, Education, Health Social Services",http://www.st-augustinus-kliniken.de
STADTWERKE AACHEN,399,Aachen,Utilities,http://www.stawag.de
